ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
5,20,565,-28,2.0,2.0,0.057933833520706,-0.109917520730073,-0.0186459880374121,-0.0970454354266318,ATL,MIN,4,2019,1
2,23,87,-22,1.0,1.0,0.057933833520706,-0.109917520730073,-0.0186459880374121,-0.0970454354266318,ATL,MIN,4,2019,1
1,70,1979,32,3.0,2.0,0.242103321654931,0.102375945646042,0.23965525614946,-0.0184911477531922,BAL,MIA,2,2019,1
3,3,570,42,2.0,3.0,0.242103321654931,0.102375945646042,0.23965525614946,-0.0184911477531922,BAL,MIA,4,2019,1
1,36,2035,-6,2.0,3.0,-0.0322805395690396,-0.0335359204441748,0.0305810839980508,-0.169443831671589,BUF,NYJ,2,2019,0
1,66,120,-1,2.0,3.0,-0.134619662581781,-0.179995827790576,-0.0683545304087782,-0.0534960620067195,NYJ,BUF,4,2019,1
10,60,77,-1,2.0,2.0,-0.134619662581781,-0.179995827790576,-0.0683545304087782,-0.0534960620067195,NYJ,BUF,4,2019,0
1,36,1027,3,3.0,3.0,-0.100603220093765,-0.0843467454619354,0.050436516288713,-0.0066489881886336,CIN,SEA,3,2019,0
24,90,5,0,0.0,1.0,0.0284144217193733,-0.134043119960541,0.227115338458957,-0.0979123850006832,DET,ARI,5,2019,0
10,33,1140,-4,3.0,2.0,-0.0484949185728265,-0.157366031514739,-0.0192840355132985,0.0433734070575805,CHI,GB,3,2019,0
8,84,69,-7,1.0,1.0,-0.0484949185728265,-0.157366031514739,-0.0192840355132985,0.0433734070575805,CHI,GB,4,2019,0
1,21,2659,0,1.0,3.0,0.105725820520464,-0.0031638968198105,0.0145120045571845,-0.144556129376769,HOU,NO,2,2019,1
3,49,214,-8,2.0,3.0,-0.0288947981622015,0.0422337878197937,0.0810276015519127,-0.03113103725949,IND,LAC,4,2019,1
5,44,1809,-14,0.0,1.0,-0.0741175548802771,-0.0591354146593853,-0.0010604995789311,-0.0918298045897583,NYG,DAL,2,2019,0
8,40,1710,-14,3.0,3.0,-0.0741175548802771,-0.0591354146593853,-0.0010604995789311,-0.0918298045897583,NYG,DAL,3,2019,1
1,7,1224,-18,3.0,3.0,-0.0741175548802771,-0.0591354146593853,-0.0010604995789311,-0.0918298045897583,NYG,DAL,3,2019,0
